id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,3589034,0.0,162.76797,-2.248,96.057,4,5,1,4q3ewBCX7sLwd24euuV69X,13-10-2023,95171611,612182,12181,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
0eeX8L0DWvGth1F6xVkvv7,ADIVINO,6144102,0.0,274.80817,-2.4,117.994,4,10,0,4q3ewBCX7sLwd24euuV69X,26-04-2024,37514149,299173,9044,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
2yzshFeBIwH8tWIqHEFLeD,un x100to,4290120,0.19732,186.35754,-4.089,83.827,4,9,1,4q3ewBCX7sLwd24euuV69X,17-04-2023,867036537,3791052,79393,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,5348742,0.36844,238.14966,-5.795,176.088,4,7,1,4q3ewBCX7sLwd24euuV69X,14-10-2019,765861885,3132203,56728,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,3937412,0.20934,178.56744,-5.105,92.005,4,1,0,4q3ewBCX7sLwd24euuV69X,20-06-2022,953533695,4561442,76914,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,5695488,0.0,247.89624,-5.745,79.928,4,3,0,4q3ewBCX7sLwd24euuV69X,14-02-2023,311413631,1369964,30068,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,4522235,0.3112,191.50658,-10.059,109.928,4,4,0,4q3ewBCX7sLwd24euuV69X,30-10-2020,1508070227,9111707,264684,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
5Eax0qFko2dh7Rl2lYs3bx,Efecto,4698000,2.77478,213.06122,-8.797,98.047,4,7,0,4q3ewBCX7sLwd24euuV69X,06-05-2022,204529000,1178795,11081,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
1IHWl5LamUGEuP4ozKQSXZ,Tití Me Preguntó,5373952,0.0,237.3834,-5.198,106.672,4,5,0,4q3ewBCX7sLwd24euuV69X,01-06-2022,898226459,5477898,118127,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
6Xom58OOXk2SoU711L2IXO,Moscow Mule,5422976,0.0,230.07492,-5.453,99.968,4,5,0,4q3ewBCX7sLwd24euuV69X,06-05-2022,576914112,3575800,68562,85858677,"['reggaeton', 'trap latino', 'urbano latino']",Bad Bunny,95
24WBge8e53iDTeXOtVB02s,Eu Sento Gabu!,1846793,0.0,77.76943,-3.973,129.971,4,11,1,6OwbqUSj4XbZdjexPsKkdH,05-05-2024,3196698,69687,1189,24788,[],PXLWYSE,61
4dd3EaoR74tDGBHYFjSkau,Eu Sento Gabu! - Super Slowed,2457939,0.0,103.52617,-4.842,97.64,4,10,0,6OwbqUSj4XbZdjexPsKkdH,18-04-2024,3409351,46260,694,24788,[],PXLWYSE,61
00KAwINbon14JRhelymw8a,Eu Sento Gabu! - Slowed,2335604,0.0,98.37134,-4.703,102.775,4,7,1,6OwbqUSj4XbZdjexPsKkdH,18-04-2024,15163431,164729,2459,24788,[],PXLWYSE,61
5YtM8JXxdWuauSwxIbUenU,Eu Sento Gabu! - Sped Up,1526750,0.0,64.19737,-3.3,157.288,4,2,1,6OwbqUSj4XbZdjexPsKkdH,05-05-2024,121751,1923,67,24788,[],PXLWYSE,61
0KjbIrE80v6XHWogGVTx6o,PROJECT 1.0 - SLOWED,2543100,0.0,111.65315,-5.783,180.109,4,1,0,6OwbqUSj4XbZdjexPsKkdH,04-04-2024,226993,3317,38,24788,[],PXLWYSE,61
1oaZhxbhix2vxExo6BBpOC,Eu Sento Gabu! - Hardstyle Remix,1788912,0.0,75.87701,-1.573,119.996,4,5,1,6OwbqUSj4XbZdjexPsKkdH,18-07-2024,205046,4310,180,24788,[],PXLWYSE,61
4Ci1tsBuiMgPu5w36NFqJV,CONTRA,1848815,0.0,77.04381,-7.183,136.019,4,1,1,6OwbqUSj4XbZdjexPsKkdH,27-06-2024,37395,764,19,24788,[],PXLWYSE,61
1lVVJQKatBTHiaOqRiTtF6,KING,2291504,2.6761,95.75329,-6.44,130.016,4,8,0,6OwbqUSj4XbZdjexPsKkdH,04-05-2023,328110,8275,456,24788,[],PXLWYSE,61
3wirUvlsv6J7JcO7nC0Mvq,AUTOMATIVO OI OI,1671665,0.0,75.81247,-3.132,130.094,4,5,0,6OwbqUSj4XbZdjexPsKkdH,13-06-2024,37129,856,38,24788,[],PXLWYSE,61
7f5Dh4YIEQrKg37s5J3Dmi,PROJECT 1.0,1760607,0.0,75.82476,-2.852,129.995,4,10,1,6OwbqUSj4XbZdjexPsKkdH,04-04-2024,33612,766,12,24788,[],PXLWYSE,61
7GqWUQv53sNEC7mudubpaq,A-What,2160900,0.0,94.43556,-1.525,120.093,4,11,0,598ZvY8cFQtXgFPBSUm28x,10-09-2024,471720,7522,134,796,[],ARKEA,58
4YfDyxbwPNsBf7PLrOaSiz,A-What - slowed,2357345,0.0,102.99791,-1.754,110.078,4,7,1,598ZvY8cFQtXgFPBSUm28x,09-08-2024,23879,403,6,796,[],ARKEA,58
6NuXZ46kK5wkCYABg68BkA,A-What - ultra slowed,3121300,0.0,138.30966,-2.344,166.335,4,2,1,598ZvY8cFQtXgFPBSUm28x,20-06-2024,5608546,67129,0,796,[],ARKEA,58
5Tx8PxnrdWAtJV9Kqk0eDp,A-What - sped up,1995101,0.0,87.20834,-2.669,130.035,4,11,0,598ZvY8cFQtXgFPBSUm28x,10-08-2024,8837,164,0,796,[],ARKEA,58
08mmnAzO5tK2Q3LN3R85dH,PAPADUDU,1669015,0.0,72.46367,-3.756,130.066,4,1,0,598ZvY8cFQtXgFPBSUm28x,01-08-2024,72,2,0,796,[],ARKEA,58
51RwSu2ZoAXlHxQOoLeMx9,MONSTR,2576974,0.0,116.86957,-2.688,115.065,4,8,1,598ZvY8cFQtXgFPBSUm28x,11-09-2024,253,13,2,796,[],ARKEA,58
3rAFzt2C3pRq0K667zwCXA,PAPADUDU - SLOWED,1972472,0.0,85.47846,-4.818,110.022,4,1,1,598ZvY8cFQtXgFPBSUm28x,07-06-2024,42124,570,0,796,[],ARKEA,58
4OXzJjceatWL7UTJdOI936,MONSTR - slowed,3045531,0.0,138.11932,-3.075,97.332,4,5,1,1yvmxpLuFjOlHiplr01Hon,27-12-2022,1630967,23812,1248,4974,[],RELYCT,58
2GY3un7tLBqYU8IP8iU3Hy,DANGA,2116800,2.42068,87.3883,-2.208,130.016,4,1,0,1yvmxpLuFjOlHiplr01Hon,12-09-2024,21996,533,0,4974,[],RELYCT,58
1iblEES1GvWzJQzUmpek6X,MONSTR - super slowed,3722315,0.0,168.81247,-3.949,159.047,4,6,1,1yvmxpLuFjOlHiplr01Hon,28-05-2023,533658,9533,247,4974,[],RELYCT,58
02WKo37gebkkQKor2TCuTk,Beeper Funk - Slowed,2279419,0.0,100.27537,-0.494,123.038,4,1,1,648ZoUpTM6iIMTCgo3lLCE,08-08-2024,14468702,293432,2726,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
3R3zF6Y5fnimYRXuBTrp9D,Robot Funk,3385324,0.0,145.3279,-3.204,135.987,4,0,0,648ZoUpTM6iIMTCgo3lLCE,20-09-2023,2294295,59628,896,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
5TA7kvv0t2dET7JbX8UxBw,Beeper Funk,1809106,0.0,79.43546,0.108,154.98,4,7,1,648ZoUpTM6iIMTCgo3lLCE,01-08-2024,4155221,90887,608,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
3XM101gr301OULqlCT0qIp,Merengue Funk,1965600,0.0,89.14286,-1.626,140.028,4,2,1,648ZoUpTM6iIMTCgo3lLCE,14-03-2024,340552,7730,19,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
6NB77CN4ADxJUs9SlL5Gv8,Robot Funk - Slowed,4265241,0.0,181.59746,-3.972,107.943,4,8,0,648ZoUpTM6iIMTCgo3lLCE,08-08-2024,441561,9208,54,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
0AMnv759pFs5BYmZOsOi7z,Não Fica Triste,2024190,0.52825,91.8,-1.503,133.933,4,11,1,648ZoUpTM6iIMTCgo3lLCE,22-04-2024,342,10,0,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
6v3y32QMsWmaPUJRbdDamp,Merengue Funk - Slowed,2476491,0.0,112.31252,-1.842,111.118,4,3,0,648ZoUpTM6iIMTCgo3lLCE,08-08-2024,53182,1050,14,40306,[],DJ Paulinho Mondi Da Baixa Baviera,63
